Genesis,Gen
Exodus,Exo
Leviticus,Lev
Numbers,Num
Deuteronomy,Deu
Joshua,Jos
Judges,Jdg
Ruth,Ru
1 Samuel,1Sam
2 Samuel,2Sam
1 Kings,1Kgs
2 Kings,2Kgs
1 Chronicles,1Chr
2 Chronicles,2Chr
Ezra,Ezr
Nehemiah,Neh
Esther,Est
Job,Job
Psalm,Psa
Proverbs,Prov
Ecclesiastes,Ecc
Song of Solomon,Song
Isaiah,Isa
Jeremiah,Jer
Lamentations,Lam
Ezekiel,Eze
Daniel,Dan
Hosea,Hos
Joel,Joel
Amos,Amos
Obadiah,Obad
Jonah,Jnh
Micah,Mic
Nahum,Nah
Habakkuk,Hab
Zephaniah,Zeph
Haggai,Hag
Zechariah,Zech
Malachi,Mal
Matthew,Matt
Mark,Mark
Luke,Luke
John,John
Acts,Acts
Romans,Rom
1 Corinthians,1Cor
2 Corinthians,2Cor
Galatians,Gal
Ephesians,Eph
Philippians,Phil
Colossians,Col
1 Thessalonians,1The
2 Thessalonians,2The
1 Timothy,1Tim
2 Timothy,2Tim
Titus,Tit
Philemon,Phlm
Hebrews,Heb
James,Jam
1 Peter,1Pet
2 Peter,2Pet
1 John,1Jn
2 John,2Jn
3 John,3Jn
Jude,Jude
Revelation,Rev
